Req ID,Source,Section,Subsection,Subsection Title,Specification,Simple Description,Relation To,Milestone,Timing/Deadline,Category,Deliverable Type,Responsibility,Notes,Due Date,Status,Status Notes,Location,WSDOT Lead,Column1
002-153,Technical Requirements (RFP Chapter 2),2.24 Right-of-Way,2.24.1.3,Laydown and Staging Areas,At Substantial Completion all debris from Design-Builder's operations shall be removed from State Right-of-Way and paved in 0.15 HMA.,Remove all debris from State Right-of-Way and pave in 0.15 HMA,At,Substantial Completion,At Substantial Completion,Physical Work,Construction Activities,Design-Builder,Applies to laydown and staging areas in State Right-of-Way; paving requirement is 0.15 HMA,,Due,"KW - Site plan found, but no completion work documented yet.",,JV,
002-154,Technical Requirements (RFP Chapter 2),2.24 Right-of-Way,2.24.4,Property Management,"The Design-Builder shall assume responsibility for the Right-of-Way parcels defined in this Section on the 45th Calendar Day after NTP, and ending 90 Calendar Days following Physical Completion.",Maintain responsibility for Right-of-Way parcels through 90 days after Physical Completion,Through,Physical Completion,Through 90 Calendar Days following Physical Completion,Administrative & Financial,Service/Maintenance,Design-Builder,Responsibility begins 45th day after NTP; Property Management Plan required within 7 days after NTP per Section 2.24.4,,In Progress,,,JV,
002-155,Technical Requirements (RFP Chapter 2),2.25 Control of Materials,2.25.4,Materials Approval,"The Design-Builder shall be responsible for approval and acceptance of all materials by means of testing, inspection, and documentation. A Materials Certification Package, as described in this Section and approved by the Design-Builder's CQAM, shall be submitted to WSDOT prior to Physical Completion.",Submit Materials Certification Package to WSDOT,Prior to,Physical Completion,Prior to Physical Completion,Quality & Compliance,Records,Design-Builder,Package must be approved by CQAM; contains certification keyword but milestone trigger takes precedence,,In Progress,,,SS,
002-156,Technical Requirements (RFP Chapter 2),2.25 Control of Materials,2.25.5.7,Recycled Materials,"Prior to Physical Completion the Design-Builder shall report the quantity of recycled materials that were utilized in the construction of the Project for each of the items listed in Section 9-03.21 of the Standard Specifications (Appendix B2). The report shall include hot mix asphalt, recycled concrete aggregate, recycled glass, steel furnace slag and other recycled materials (e.g. utilization of on-site material and aggregates from concrete returned to the supplier). The Design-Builder's report shall be provided on DOT Form 350-075 Recycled Materials Reporting.",Submit recycled materials quantity report,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Reports,Design-Builder,"Report on DOT Form 350-075; includes HMA, recycled concrete aggregate, recycled glass, steel furnace slag, and other recycled materials",,In Progress,,,SS,
002-157,Technical Requirements (RFP Chapter 2),2.25 Control of Materials,2.25.7,Cement Concrete Pavement Mix Design and Batch Plant,The concrete batch plant that the Design-Builder uses for the production of Cement Concrete Pavement shall have a current National Ready Mix Concrete Association plant certification. The certification shall be maintained through Completion.,Maintain National Ready Mix Concrete Association plant certification for concrete batch plant,Through,Completion,Through Completion,Quality & Compliance,Permits/Approvals,Design-Builder,Applies to concrete batch plant used for Cement Concrete Pavement production; contains certification keyword but milestone trigger takes precedence,,Not Started,,,SS,
002-158,Technical Requirements (RFP Chapter 2),2.25 Control of Materials,2.25.10.1,"Owner's Manuals, Operating Instructions, and Product Data","For equipment and materials that are permanently incorporated in the Work, the Design-Builder shall provide WSDOT with all owner manuals and operating instructions furnished by the equipment or material manufacturer.",Provide owner manuals and operating instructions for permanently incorporated equipment and materials,At,Handover,Ongoing,Operations & Maintenance,Manuals,Design-Builder,For equipment and materials permanently incorporated in the Work; found via handover keyword: manual,,Not Started,,,SS,
002-159,Technical Requirements (RFP Chapter 2),2.25 Control of Materials,2.25.10.1,"Owner's Manuals, Operating Instructions, and Product Data","The Design-Builder shall also submit two hard copies of all manufacturer's warranties, guarantees, instruction sheets, parts lists, and other product data to WSDOT for acceptance within 30 Calendar Days of installation of the items to which they relate.","Submit manufacturer's warranties, guarantees, instruction sheets, parts lists, and product data",Within 30 days of installation,Handover,Within 30 days of installation,Closeout/Final Records,Records,Design-Builder,Two hard copies required; submit within 30 Calendar Days of installation; part of multi-item submittal,,Not Started,,,SS,
002-160,Technical Requirements (RFP Chapter 2),2.25 Control of Materials,2.25.10.2,Materials Certification Package,"The Design-Builder shall submit a final Materials Certification Package to WSDOT. The Materials Certification shall be signed by the Engineer of Record, and the CQAM. The Design-Builder may use the Contract Materials Checklist Form (DOT Form 350-115 EF) or develop its own checklist with the same information. The Materials Certification Package shall include all necessary supporting documentation.",Submit final Materials Certification Package,,Handover,Unspecified,Quality & Compliance,Records,Design-Builder,Must be signed by EOR and CQAM; includes all supporting documentation; found via handover keyword: certification,,Not Started,,,SS,
002-161,Technical Requirements (RFP Chapter 2),2.28 Quality Management Plan,2.28.1,General,"The final QMP shall incorporate the design QMP and construction QMP. The QMP shall remain in effect until all requirements of the Contract have been fulfilled, including plant establishment and Warranty requirements.",Maintain QMP in effect until all contract requirements fulfilled,Until,Handover,Until all contract requirements fulfilled,Quality & Compliance,Service/Maintenance,Design-Builder,QMP must remain active through plant establishment and warranty period until all contract requirements fulfilled; found via handover keyword: warranty,,Not Started,,,RB,
002-162,Technical Requirements (RFP Chapter 2),2.28 Quality Management Plan,2.28.4.8,Document and Data Control,"All documents shall be maintained by the Design-Builder until Completion, and shall be organized, indexed, and delivered to WSDOT upon Completion unless required to be delivered earlier pursuant to the Contract; or within seven Calendar Days of receipt of request from WSDOT, even if the documents are incomplete.",Deliver organized and indexed project documents to WSDOT,Upon,Completion,Upon Completion,Closeout/Final Records,Project Documentation Package,Design-Builder,Includes all test documentation; alternative: within 7 days of WSDOT request,,Not Started,,,RB,
002-163,Technical Requirements (RFP Chapter 2),2.28 Quality Management Plan,2.28.5.8,Materials Documentation Audit,WSDOT will perform periodic formal materials documentation audits at approximately 25 percent and 75 percent completion of construction and prior to Physical Completion. Items to be audited will be randomly selected by WSDOT.,Provide materials documentation for WSDOT audit,Prior to,Physical Completion,Prior to Physical Completion,Closeout/Final Records,Records,WSDOT,WSDOT performs audit of Design-Builder's materials documentation; periodic audits at 25% and 75% completion,,In Progress,,,RB,
002-164,Technical Requirements (RFP Chapter 2),2.28 Quality Management Plan,2.28.5.8,Materials Documentation Audit,A final audit will be performed prior to Project Completion.,Provide materials documentation for final WSDOT audit,Prior to,Completion,Prior to Completion,Closeout/Final Records,Records,WSDOT,WSDOT performs final materials documentation audit,,Not Started,,,RB,
002-165,Technical Requirements (RFP Chapter 2),2.29 Maintenance During Construction,2.29.1,General,"The Maintenance During Construction Period shall be when the Design-Builder assumes the maintenance responsibility including, but not limited to operation, maintenance, and repair of the existing facilities, including transit facilities; and facilities constructed under the Contract beginning at the earlier of the following two milestones: 45 Calendar Days after NTP or seven Calendar Days prior to installation of any high visibility fence, silt fence or other BMPs; and ending on the day of Physical Completion.",Maintain all facilities until Physical Completion,Until,Physical Completion,Until Physical Completion,Operations & Maintenance,Service/Maintenance,Design-Builder,"Maintenance responsibility for existing and new facilities continues through Physical Completion; maintenance period begins 45 days after NTP or 7 days before BMP installation, whichever is earlier",,In Progress,,,JV,
